totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
483531845020.0,335581642559.0,482775863.0,57479603845.0,0,7381772885.0,9782599676.0,101352394186.0,92355926139.0,382179450834.0,42918838183.0,58433556003.0,38656094546.0,0,1081625863.0,14202560285.0,41289588203.0,2021,1
469799944112.0,320906878748.0,419957641.0,65415412566.0,0,8820656750.0,9654977013.0,102847387737.0,69937772292.0,366952556375.0,48761224974.0,54086162763.0,40477567625.0,0,1375807826.0,12915030562.0,37197777963.0,2021,2
488647439257.0,306795397726.0,396164383.0,69070795035.0,0,17836504443.0,9421889823.0,103858378439.0,74114526553.0,384789060818.0,49822950746.0,54035427693.0,35322205692.0,0,1071278707.0,11219111300.0,35733041893.0,2021,3
502845502867.0,301430830500.0,358349978.0,61626917971.0,0,2810478799.0,19918996817.0,115245963250.0,45694518758.0,387599539617.0,63218737910.0,52027225340.0,45899540019.0,0,1213913274.0,10674025733.0,32184338540.0,2021,4
494768277094.0,385978083676.0,329274971.0,60562568934.0,0,11525616002.0,19595762903.0,111973377510.0,41020151023.0,382794899584.0,60020827170.0,51952550340.0,36067579941.0,0,854179426.0,10237745343.0,31051821540.0,2022,1
495587891806.0,394528658841.0,300199964.0,70123729007.0,0,11790139464.0,25179347625.0,115261265600.0,52924869988.0,380326626206.0,59085591260.0,56175674340.0,43064710996.0,0,1046403681.0,7278473423.0,29919304540.0,2022,2
509745995504.0,379470262560.0,271124957.0,70521686208.0,0,16255115857.0,26636469974.0,113242572214.0,79323842993.0,396503423290.0,58509760874.0,54732811340.0,38030799889.0,0,858035214.0,6921510423.0,28786787540.0,2022,3
