totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
546660020450.0,364675055512.0,302833334.0,147081265778.0,3222305924.0,3211493946.0,35767755290.0,478989601382.0,44234541367.0,67670419068.0,289865421671.0,189124179711.0,140743043122.0,21594653697.0,5406087922.0,177676691274.0,155889861000.0,2021,1
612005386889.0,343247301247.0,273333335.0,240226685988.0,66015506445.0,65982678504.0,38815594723.0,478352289317.0,96332285294.0,133653097572.0,320243681786.0,158108607531.0,173034731022.0,21675732192.0,5614789548.0,190290284143.0,138962124000.0,2021,2
665698625742.0,324958613371.0,434588892.0,240231843773.0,68976066304.0,68943090189.0,51850397396.0,463102437981.0,80609827037.0,202596187761.0,311077608350.0,152024829631.0,156978545128.0,21724871179.0,5364046150.0,172681654832.0,134364375000.0,2021,3
713900004076.0,306120644711.0,389088894.0,225800843676.0,42707065011.0,39686693533.0,43486569667.0,471617122782.0,178500086206.0,242282881294.0,380545803948.0,91071318834.0,161530492196.0,21919785340.0,4466291470.0,130767814831.0,81197055840.0,2021,4
662225233554.0,284328785610.0,343588896.0,232319249342.0,50084121804.0,40173894883.0,45744128336.0,379768457377.0,127101300557.0,282456776177.0,291675717800.0,88092739577.0,167037244655.0,22055837027.0,3562542179.0,100027377703.0,78945025570.0,2022,1
767284862744.0,262548713746.0,298088898.0,323223725446.0,143407143308.0,115422748037.0,53705605175.0,369477104630.0,250754106423.0,397807758114.0,350459654630.0,19017450000.0,221391133860.0,22044049790.0,2781426210.0,98410512352.0,19017450000.0,2022,2
705290629605.0,240933641292.0,252588900.0,275350038425.0,143407143308.0,63755898020.0,41365681586.0,243726973471.0,250754106423.0,461563656134.0,228057523471.0,15669450000.0,182767425845.0,22044049790.0,1620722224.0,29097000000.0,15669450000.0,2022,3
