totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
1203777981669.0,189524271554.0,632539799.0,440847350067.0,23362006846.0,18665243318.0,263764373500.0,618029138440.0,16889696122.0,585748843229.0,589771447571.0,28257690869.0,389342772651.0,11879219683.0,1522395223.0,214411641715.0,18571800000.0,2021,1
1178569911321.0,178661937230.0,563585990.0,471419030065.0,34170137901.0,27316776456.0,274657290314.0,569966152095.0,18306007558.0,608603759226.0,559957174586.0,10008977509.0,406339953149.0,10059797715.0,2254691141.0,251372919761.0,0,2021,2
1074292907525.0,168011086646.0,494632181.0,415228936236.0,17383415204.0,13906732163.0,234326828591.0,451883415984.0,46876797198.0,622409491541.0,441497573275.0,10385842709.0,368760570517.0,10940295393.0,1427775651.0,137463712393.0,0,2021,3
1160046781788.0,165609094594.0,425678372.0,509687308162.0,40416807439.0,32230728619.0,214063380828.0,526184429139.0,64896811446.0,633862352649.0,512959631184.0,13224797955.0,440225123996.0,11072223612.0,805766576.0,115421129166.0,0,2021,4
1159770866373.0,163153627157.0,356724554.0,476273713639.0,35057136372.0,28024055700.0,200257272840.0,497884458024.0,48916461315.0,661886408349.0,492068238229.0,5816219795.0,414213004640.0,10612746482.0,616655442.0,98405066861.0,0,2022,1
1251326189374.0,154643388809.0,289333844.0,514475246309.0,40796202469.0,32540646188.0,202462634056.0,579997521437.0,61575959050.0,671328667937.0,574374904122.0,5622617315.0,444937904714.0,10784055888.0,1137739054.0,163832049663.0,0,2022,2
1167877143673.0,162160778620.0,221943134.0,462575911088.0,29139626072.0,22741286262.0,154483706358.0,473807189474.0,75593017521.0,694069954199.0,468377469029.0,5429720445.0,402100793899.0,11118554486.0,1772512165.0,116720777712.0,0,2022,3
1167877143673.0,162160778620.0,221943134.0,462575911088.0,29139626072.0,22741286262.0,154483706358.0,473807189474.0,75593017521.0,694069954199.0,468377469029.0,5429720445.0,402100793899.0,11118554486.0,1772512165.0,116720777712.0,0,2022,4
