totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,2
222776419244.0,31667569522.0,48224079510.0,0,0,0,83186789142.0,34608149735.0,0,188168269509.0,34408149735.0,200000000.0,0,0,0,28672343394.0,0,2021,3
233655716736.0,31320851127.0,49724804626.0,0,0,0,78383787773.0,39087112520.0,0,194568604216.0,38887112520.0,200000000.0,0,0,0,33518125134.0,0,2021,4
271210188657.0,30354897595.0,49724804626.0,30961119291.0,3315735655.0,2740675153.0,78248317573.0,44739501916.0,39697085564.0,226470686741.0,44539501916.0,200000000.0,24548855810.0,965953532.0,511462055.0,38847218052.0,0,2022,1
273311578098.0,30153653343.0,49724804626.0,32979031124.0,4370230901.0,3225535232.0,82806798915.0,43563706514.0,30685078546.0,229747871584.0,43363706514.0,200000000.0,25790890323.0,2067779003.0,509522271.0,32152839635.0,0,2022,2
269703110565.0,29163702840.0,49724804626.0,35904216268.0,5581298720.0,3965130173.0,76881932489.0,35938006710.0,14183746461.0,233765103855.0,35738006710.0,200000000.0,27936346975.0,1527880119.0,586977753.0,23803041281.0,0,2022,3
