totalAssets,tangibleAssets,intangibleAssets,netRevenue,profitBeforeTaxes,profitAfterTaxes,inventory,liabilities,cashAndCashEquivalents,equity,shorttermLiabilities,longtermLiabilities,costPrice,fixedAssetsDepreciation,lendingCost,shorttermBorrowingsFinancialLeases,longtermBorrowingsFinancialLeases,year,quarter
12577126821761.0,3765563750105.0,2491361429.0,1548344223645.0,97183210106.0,78357321760.0,976872843586.0,7425038081711.0,1331632504750.0,5152088740050.0,5246179557649.0,2178858524062.0,1360626379173.0,58953555151.0,58499893411.0,2554337933840.0,2144519189586.0,2021,1
15939967112507.0,3826990794304.0,979857539229.0,2987713393777.0,405142672987.0,327759479995.0,1261034499202.0,10093276385008.0,897049144276.0,5846690727499.0,7625807210303.0,2467469174705.0,2745374792186.0,78031944143.0,77514742575.0,4261811065135.0,2188143699027.0,2021,2
17797893726342.0,3793884699947.0,968648228629.0,3131207777266.0,187422830720.0,143882073981.0,1073664640489.0,11762677215936.0,1782832964955.0,6035216510406.0,6245793472187.0,5516883743749.0,2816485985069.0,103140861849.0,82496305776.0,2571993940846.0,5214872935585.0,2021,3
18796445976943.0,9301866127035.0,955090831784.0,2145676751179.0,200351530278.0,141061009002.0,901608339178.0,12515687856235.0,2291969173159.0,6280758120708.0,5885293582667.0,6630394273568.0,1745723913680.0,122168756241.0,92829178325.0,2781375221944.0,6255744683513.0,2021,4
19169516627449.0,9076348613127.0,944667795346.0,1477928426506.0,183913033715.0,133030122424.0,765664417121.0,12735329332279.0,2237410420647.0,6434187295170.0,5349126534709.0,7386202797570.0,1127969301800.0,156159168877.0,111543773506.0,2972426948517.0,7042930188324.0,2022,1
19689048918016.0,8958428512942.0,932182974586.0,1510907385869.0,72074331913.0,63655404359.0,954128201715.0,13187884711709.0,2615317116457.0,6501164206307.0,5011590364229.0,8176294347480.0,1165999591417.0,156090906428.0,138183703270.0,2823513432758.0,7847029884848.0,2022,2
21276805185640.0,8715433293455.0,920796561760.0,3005929612627.0,47311754072.0,65797643800.0,998869094689.0,14726004557963.0,3349116893795.0,6550800627677.0,6180404354469.0,8545600203494.0,2609749767455.0,152571182783.0,161302925170.0,3190015900516.0,8248132517235.0,2022,3
21276805185640.0,8715433293455.0,920796561760.0,3005929612627.0,47311754072.0,65797643800.0,998869094689.0,14726004557963.0,3349116893795.0,6550800627677.0,6180404354469.0,8545600203494.0,2609749767455.0,152571182783.0,161302925170.0,3190015900516.0,8248132517235.0,2022,4
